title,resume,Issue key,Issue id,Parent id,labels,Type de demande,Etat,Project description,Project url,Priorité,state,Responsable,Rapporteur,Créateur,Étiquettes,description,Descriptif,Environnement,Gérer les observateurs,Gérer les observateurs,Gérer les observateurs,Gérer les observateurs,Gérer les observateurs,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Journal de travail,Estimation originale,Estimation restante,Temps consacré,Ratio du travail réel comparé à l'estimation,Σ Estimation originale,Σ Estimation restante,Σ Temps consacré,Niveau de sécurité,Outward issue link (Blocks),Outward issue link (Duplicate),Outward issue link (Relates),Pièce jointe,Pièce jointe,Pièce jointe,Pièce jointe,Custom field (Account),Custom field (Business Value),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Iteration),Custom field (Parent Link),Custom field (Raised During),Custom field (Rank),Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire
CNED-1 Etape 1 : migration de Tesseract en JS,Etape 1 : migration de Tesseract en JS,CNED-1,11903,,Épopée/Validé/Majeur/,Épopée,Validé,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,guillaume.ogier,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-4,,US 2323 - Traitement OCR côté Navigateur,Done,,,,,0|i003jj:,,,,,,,Not started,2016-10-10 11:54:44.723,10/oct./16 11:54 AM,guillaume.ogier,Validée par Rachid Kouifi : mail du 05/10/2016,,,,,,,,,,
CNED-2 Intégration du module OCR JS dans l'application CNED Adapt,Intégration du module OCR JS dans l'application CNED Adapt,CNED-2,11904,,Épopée/Validé/Majeur/,Épopée,Validé,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,guillaume.ogier,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,US 2409 - Traitement OCR côté Navigateur (Intégration),Done,,,,,0|i003jr:,,,,,,,Not started,2016-10-10 11:55:15.726,10/oct./16 11:55 AM,guillaume.ogier,Validée par Rachid Kouifi : mail du 05/10/2016,,,,,,,,,,
CNED-3 Mise en place d'un éditeur de texte pour la création de documents,Mise en place d'un éditeur de texte pour la création de documents,CNED-3,11905,,Épopée/Validé/Majeur/,Épopée,Validé,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,guillaume.ogier,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,US 2183 -  Implémenter un éditeur de texte dans Cned Adapt (1/2),Done,,,,,0|i003jz:,,,,,,,Not started,2016-10-10 11:56:19.332,10/oct./16 11:56 AM,guillaume.ogier,Validée par Rachid Kouifi : mail du 05/10/2016,,,,,,,,,,
CNED-4 Mise à niveau guide utilisateur de CNED Adapt,Mise à niveau guide utilisateur de CNED Adapt,CNED-4,11906,,Épopée/A faire/Majeur/,Épopée,A faire,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,US 2405 -  Guide utilisateur de CNED Adapt,Done,,,,,0|i003k7:,,,,,,,Not started,,,,,,,,,,,,,,
CNED-5 Installation et rédaction du guide d'installation de CNED Adapt,Installation et rédaction du guide d'installation de CNED Adapt,CNED-5,11907,,Épopée/A faire/Majeur/,Épopée,A faire,,,Majeur,,,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,US 2399 -  Environnement technique de CNED Adapt,Done,,,,,0|i003kf:,,,,,,,Not started,,,,,,,,,,,,,,
CNED-6 Montée en compétence GBA,Montée en compétence GBA,CNED-6,11908,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,jetessie,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,06/août/15 12:00 PM,jetessie,43200,,10/août/15 11:17 AM,jetessie,57600,,,,,,57600,0,100800,175%,57600,0,100800,,,,,,,,,,,,CNED-1,,,,,,,0|i003p7:,Sprint 1,,,,,,Not started,,,,,,,,
CNED-7 Création d'un schéma d'architecture du module d'OCR ,Création d'un schéma d'architecture du module d'OCR ,CNED-7,11909,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,10/août/15 11:17 AM,jetessie,28800,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,CNED-1,,,,,,,0|i003p9:,Sprint 1,,,,,,Not started,,,,,,,,,,,
CNED-8 Définition des tests à exécuter sur le module OCR,Définition des tests à exécuter sur le module OCR,CNED-8,11910,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,wpetit,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,26/août/15 10:02 AM,wpetit,14400,,26/août/15 10:04 AM,wpetit,14400,,,,,,28800,0,28800,100%,43200,0,57600,,,,,,,,,,,,CNED-1,,,,,,,0|i003pa:,Sprint 1,,,,,,Not started,,,,,,,,
CNED-9 Exécution des tests du module d'OCR,Exécution des tests du module d'OCR,CNED-9,11911,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,mspegagn,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,26/août/15 6:04 PM,mspegagn,3600,,27/août/15 3:38 PM,wpetit,60,,,,,,57600,0,3660,6%,57600,0,3660,,,,,,,,,,,,CNED-1,,,,,,,0|i003pa:i,Sprint 1,,,,,,Not started,,,,,,,,
CNED-10 Etude d'impact d'intégration du module d'OCR dans CNED Adapt,Etude d'impact d'intégration du module d'OCR dans CNED Adapt,CNED-10,11912,,Tâche/Validé/Majeur/Terminé,Tâche,Validé,,,Majeur,Terminé,wpetit,jetessie,jetessie,,  Environnement : ,,,jetessie,,,,,,26/août/15 10:03 AM,wpetit,14400,,26/août/15 10:04 AM,wpetit,14400,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,CNED-1,,,,,,,0|i003pa:r,Sprint 1,,,,,,Not started,,,,,,,,
